Lat.      Lon.      Sta.     Network
-100.0571  40.1791    O30A    TA 
-100.1001  40.7957    N30A    TA 
-100.1435  33.3183    Z31A    TA 
-100.2207  38.9772    Q30A    TA 
-100.2468  39.5442    P30A    TA 
-100.2615  33.9629    Y31A    TA 
-100.2769  38.2844    R30A    TA 
-100.3163  31.9353    231A    TA 
-100.3888  32.6737    131A    TA 
-100.4266  31.3085    331A    TA 
-100.464  37.6402    S30A    TA 
-100.5274  37.0526    T30A    TA 
-100.577  35.1818    W30A    TA 
-100.6264  40.8189    N29A    TA 
-100.6509  36.5304    U30A    TA 
-100.6892  35.7623    V30A    TA 
-100.7977  40.1253    O29A    TA 
-100.874  34.4461    X30A    TA 
-100.8978  33.8766    Y30A    TA 
-100.9316  39.6021    P29A    TA 
-100.9652  32.5961    130A    TA 
-100.9787  38.8905    Q29A    TA 
-101.1124  31.8878    230A    TA 
-101.118  37.6199    S29A    TA 
-101.1282  33.2861    Z30A    TA 
-101.1383  38.4243    R29A    TA 
-101.1752  31.4063    330A    TA 
-101.2702  36.4519    U29A    TA 
-101.2942  37.1565    T29A    TA 
-101.5209  35.8734    V29A    TA 
-101.5406  40.6873    N28A    TA 
-101.6476  35.1212    W29A    TA 
-101.6712  33.8602    Y29A    TA 
-101.6808  34.8837    AMTX    US 
-101.7008  34.4452    X29A    TA 
-101.7062  33.2595    Z29A    TA 
-101.7548  39.5732    P28A    TA 
-101.7735  40.1262    O28A    TA 
-101.8106  38.3423    R28A    TA 
-101.8107  31.9671    229A    TA 
-101.8309  39.0623    Q28A    TA 
-101.8662  32.6309    129A    TA 
-101.8755  33.6734    MA07    ZQ 
-101.8979  37.5899    S28A    TA 
-102.1136  37.1204    T28A    TA 
-102.1973  34.5185    X28A    TA 
-102.2063  35.2574    W28A    TA 
-102.2243  35.7505    V28A    TA 
-102.2243  36.3793    U28A    TA 
-102.2479  33.9086    Y28A    TA 
-102.3866  33.2884    Z28A    TA 
-102.485  32.6213    128A    TA 
-102.5369  32.9426    SC43    XR 
-102.5482  32.2888    SC58    XR 
-102.5782  39.5559    P27A    TA 
-102.6273  39.0112    KSCO    TA 
-102.7214  37.0614    T27A    TA 
-102.7724  33.9696    MSTX    TA 
-102.798  38.2859    R27A    TA 
-102.8207  33.5385    SC27    XR 
-102.8246  36.4213    U27A    TA 
-102.8343  33.2334    SC33    XR 
-102.8361  35.7569    V27A    TA 
-102.8409  33.8774    SC18    XR 
-102.8612  32.8728    SC42    XR 
-102.8982  37.6837    S27A    TA 
-102.905  32.6899    SC48    XR 
-103.0627  35.0637    W27A    TA 
-103.0974  34.6469    X27A    TA 
-103.1184  33.5044    SC26    XR 
-103.1633  33.8839    Y27A    TA 
-103.2056  32.9833    SC41    XR 
-103.2145  33.315    Z27A    TA 
-103.447  38.3009    R26A    TA 
-103.4711  37.6216    S26A    TA 
-103.5195  38.9234    Q26A    TA 
-103.5269  34.2135    SC13    XR 
-103.5446  33.893    SC17    XR 
-103.5482  33.5806    SC25    XR 
-103.5933  37.1747    T26A    TA 
-103.7656  35.0891    W26A    TA 
-103.786  35.7964    V26A    TA 
-103.8103  34.5508    X26A    TA 
-103.8246  33.9232    Y26A    TA 
-103.9116  34.2148    SC12    XR 
-104.4081  36.3998    U25A    TA 
-86.8219  35.74    V48A    N4 
-87.0452  34.4517    X48A    N4 
-87.1055  36.9881    T47A    N4 
-87.83  36.1297     WVT    IU 
-88.0696  33.1989    Z47B    N4 
-88.0755  34.9824    PLAL    NM 
-88.0991  38.7338    OLIL    NM 
-88.5202  36.7336    NKKY    3E 
-88.5388  36.4344    MMTN    3E 
-88.6125  36.8773    WBKY    3E 
-88.6459  37.0159    T45B    N4 
-88.648  36.4428    JRTN    3E 
-88.648  36.842    RMKY    3E 
-88.6525  36.6244    JLKY    3E 
-88.7275  36.8657    RSKY    3E 
-88.7635  36.3481    RPTN    3E 
-88.799  36.7264    TWKY    3E 
-88.8636  36.3497    UTMT    NM 
-88.928  36.998    MMKY    3E 
-88.941  36.6354    DHKY    3E 
-88.9569  36.3663    HFTN    3E 
-89.0169  38.9033    Q44B    N4 
-89.0573  32.6368    146B    N4 
-89.0621  36.8226    GHKY    3E 
-89.0867  36.6609    JYKY    3E 
-89.1762  36.4595    JBTN    3E 
-89.186  35.1568    W45B    N4 
-89.229  36.541    HICK    NM 
-89.2401  37.7085    SIUC    NM 
-89.2551  37.6936    S44A    N4 
-89.288  36.269    GLAT    NM 
-89.294  40.5559    HDIL    US 
-89.34  35.911    HALT    NM 
-89.4092  34.5118     OXF    US 
-89.4649  31.3876    346B    N4 
-89.472  36.716    HENM    NM 
-89.491  36.101    LNXT    NM 
-89.5213  39.6409    P43A    N4 
-89.5327  36.3154     S07    Y8 
-89.5327  36.316     S06    Y8 
-89.5327  36.3166     S05    Y8 
-89.5327  36.3173     S04    Y8 
-89.5327  36.3178     S03    Y8 
-89.5327  36.3184     S02    Y8 
-89.5328  36.3137     S10    Y8 
-89.5328  36.3143     S09    Y8 
-89.5328  36.3149     S08    Y8 
-89.5335  36.3137     S11    Y8 
-89.5343  36.3137     S12    Y8 
-89.535  36.3137     S13    Y8 
-89.5357  36.3137     S14    Y8 
-89.5364  36.3137     S15    Y8 
-89.5371  36.3138     S16    Y8 
-89.5379  36.3138     S17    Y8 
-89.5386  36.3138     S18    Y8 
-89.5431  33.8656    Y45B    N4 
-89.628  36.45    PENM    NM 
-89.6863  36.5047    U44A    TA 
-89.6997  36.4137    PVMO    NM 
-89.752  36.664    PARM    NM 
-89.8161  35.1395    W44A    TA 
-89.862  36.113    PEBM    NM 
-89.8954  35.8282    V44A    TA 
-89.932  35.123     MPH    NM 
-90.018  35.965    GNAR    NM 
-90.0754  37.5716    S43A    TA 
-90.1462  34.4998    X44A    TA 
-90.2112  33.9618    Y44A    TA 
-90.2364  38.6361     SLM    NM 
-90.2878  37.0833    T43A    TA 
-90.3  35.602    LPAR    NM 
-90.4057  36.3693    U43A    TA 
-90.4273  37.9812     FVM    NM 
-90.4297  36.7785    PBMO    NM 
-90.5177  32.2185    VBMS    US 
-90.5331  38.912    Q42A    TA 
-90.5443  35.7857    V43A    TA 
-90.657  35.555    HBAR    NM 
-90.7061  35.0877    W43A    TA 
-90.7319  31.4527    344B    N4 
-90.7939  37.77    S42A    TA 
-90.7944  38.2804    R42A    TA 
-90.8552  40.7077    N41A    N4 
-90.8812  34.518    X43A    TA 
-90.9285  33.9121    Y43A    TA 
-91.0619  39.675    P41A    TA 
-91.0925  37.03    T42B    N4 
-91.0927  37.0301    T42A    TA 
-91.2317  38.9539    Q41A    TA 
-91.2383  36.3514    U42A    TA 
-91.2441  33.21    Z43A    TA 
-91.3795  38.2976    R41A    TA 
-91.39  35.806    V42A    TA 
-91.4036  32.7032    143A    TA 
-91.4036  32.7032    143B    N4 
-91.5224  35.2732    W42A    TA 
-91.6262  34.5532    X42A    TA 
-91.7458  37.5877    S41A    TA 
-91.7636  37.0436    T41A    TA 
-91.7871  33.8364    Y42A    TA 
-91.8578  35.4858    N07A    ZL 
-91.874  40.1212    O40A    TA 
-91.9203  36.344    U41A    TA 
-91.9457  32.5488    142A    TA 
-91.9474  33.2739    Z42A    TA 
-92.0483  39.5298    P40B    N4 
-92.0483  39.5299    P40A    TA 
-92.0748  38.9946    Q40A    TA 
-92.1521  32.0617    242A    TA 
-92.1554  35.7851    V41A    TA 
-92.2478  35.1736    W41A    TA 
-92.2479  35.1736    W41B    TA 
-92.2684  38.2909    R40A    TA 
-92.2684  38.2909    R40B    N4 
-92.2687  37.154    MGMO    NM 
-92.3115  35.3798    X102    7F 
-92.3138  35.3799    X401    7F 
-92.3249  31.3747    342B    N4 
-92.3429  34.7751    UALR    NM 
-92.3623  35.2926    X201    7F 
-92.3632  35.178    X103    7F 
-92.4002  35.2422    X301    7F 
-92.5014  37.5988    S40A    TA 
-92.5137  34.4949    X41A    TA 
-92.5193  37.1504    T40A    TA 
-92.5438  40.2544    O39A    TA 
-92.6113  33.8807    Y41A    TA 
-92.7541  39.4876    P39B    TA 
-92.803  33.2577    Z41A    TA 
-92.8232  35.8044    V40A    TA 
-92.8342  34.4873    X40A    TA 
-92.8535  36.3563    U40A    TA 
-92.9049  32.6046    141A    TA 
-92.9188  32.0227    241A    TA 
-92.9759  39.0455    Q39A    TA 
-93.0383  38.3138    R39A    TA 
-93.0693  35.1923    W40A    TA 
-93.1681  31.3334    341A    TA 
-93.2153  41.9069    SCIA    US 
-93.235  40.7931    N38A    TA 
-93.235  40.7931    N38B    N4 
-93.2798  34.0124    Y40A    TA 
-93.3226  37.6909    S39B    N4 
-93.3226  37.691    S39A    TA 
-93.3774  37.0241    T39A    TA 
-93.3995  33.2584    Z40A    TA 
-93.4731  40.1215    O38A    TA 
-93.4805  36.3823    U39A    TA 
-93.5321  39.6248    P38A    TA 
-93.5321  39.6248    P38B    N4 
-93.574  32.6408    140A    TA 
-93.5765  34.5454    MIAR    US 
-93.6182  38.9609    Q38A    TA 
-93.645  35.8389    V39A    TA 
-93.7626  32.0387    240A    TA 
-93.784  35.196    W39A    TA 
-93.8896  31.4167    340A    TA 
-93.9056  38.1868    R38A    TA 
-93.9078  37.6304    S38A    TA 
-93.9587  30.7456    440A    TA 
-94.0575  41.4028    M37A    TA 
-94.0936  33.938    Y39A    TA 
-94.1138  34.5105    X39A    TA 
-94.1461  40.1664    O37A    TA 
-94.1822  33.2418    Z39A    TA 
-94.2095  40.7582    N37A    TA 
-94.293  37.0354    T38A    TA 
-94.3491  39.5882    P37A    TA 
-94.3857  36.4394    U38A    TA 
-94.3857  36.4394    U38B    N4 
-94.3927  32.6795    139A    TA 
-94.4077  35.8626    V38A    TA 
-94.4522  38.8763    Q37A    TA 
-94.4707  32.0179    239A    TA 
-94.5184  35.0704    W38A    TA 
-94.556  31.3331    339A    TA 
-94.661  31.7598    NATX    US 
-94.7311  33.9278    Y38A    TA 
-94.766  30.7937    439A    TA 
-94.8021  41.4537    M36A    TA 
-94.8279  37.7597    S37A    TA 
-94.8288  34.6692    X38A    TA 
-94.8294  38.3133    R37A    TA 
-94.9176  37.123    T37A    TA 
-94.9604  40.8156    N36A    TA 
-94.9645  40.1315    O36A    TA 
-94.9851  33.2599    Z38A    TA 
-94.9852  33.2599    Z38B    N4 
